Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level,Address,Tenure Lease Period,Tenure From,Tenure Due,Tenure Remaining,Latitude,Longitude,Planning Area,Region
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,11754050,"5,468.11","2,150",May-21,Strata,508,"23,138",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
THE PLAZA,BEACH ROAD,Office,2360000,"1,560.78","1,512",May-21,Strata,145,"16,276",99 yrs lease commencing from 1968,7," Middle Road, Golden Mile",11 to 15,"THE PLAZA, BEACH ROAD",99,1968,2067,43,1.29962022781589,103.860647265508,Downtown Core,Central
CENTRIUM SQUARE,SERANGOON ROAD,Office,2582500,990.29,"2,608",May-21,Strata,92,"28,071",Freehold,8, Little India,16 to 20,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
CENTRIUM SQUARE,SERANGOON ROAD,Office,1935000,721.19,"2,683",May-21,Strata,67,"28,881",Freehold,8, Little India,16 to 20,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
LE SHANTIER,BALESTIER ROAD,Office,1400000,947.23,"1,478",May-21,Strata,88,"15,909",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,"LE SHANTIER, BALESTIER ROAD",Freehold,Freehold,Freehold,Freehold,1.32608927617256,103.846533689765,Novena,Central
WIS@CHANGI,CHANGI ROAD,Office,900000,635.08,"1,417",May-21,Strata,59,"15,254",Freehold,14," Geylang, Eunos",01 to 05,"WIS@CHANGI, CHANGI ROAD",Freehold,Freehold,Freehold,Freehold,1.31647122783973,103.901232839024,Geylang,East
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,700000,624.31,"1,121",May-21,Strata,58,"12,069",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",06 to 10,"PARKLANE SHOPPING MALL, SELEGIE ROAD",99,1974,2073,49,1.30065102658844,103.84944198056,Rochor,Central
SAMSUNG HUB,CHURCH STREET,Office,53097242,"13,110.55","4,050",May-21,Strata,"1,218","43,594",999 yrs lease commencing from 1827,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SAMSUNG HUB, CHURCH STREET",999,1827,2826,802,1.2832632231733,103.849626546611,Downtown Core,Central
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,1100000,548.96,"2,004",May-21,Strata,51,"21,569",99 yrs lease commencing from 1969,6," High Street, Beach Road (part)",06 to 10,"HIGH STREET CENTRE, NORTH BRIDGE ROAD",99,1969,2068,44,1.28998869553165,103.84921712944,Downtown Core,Central
MAXWELL HOUSE,MAXWELL ROAD,Office,276800000,"179,468.17","1,542",May-21,Strata,"16,673","16,602",99 yrs lease commencing from 1969,1," Raffles Place, Cecil, Marina, People's Park",-,"MAXWELL HOUSE, MAXWELL ROAD",99,1969,2068,44,1.28005617563792,103.845502395355,Downtown Core,Central
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,10330000,"3,078.50","3,356",May-21,Strata,286,"36,119",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",36 to 40,"SUNTEC TOWER ONE, TEMASEK BOULEVARD",99,1989,2088,64,1.29543569778908,103.858374825349,Downtown Core,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,906000,484.38,"1,870",May-21,Strata,45,"20,133",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
SOHO LIFE,JOO CHIAT ROAD,Office,512000,344.45,"1,486",May-21,Strata,32,"16,000",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"SOHO LIFE, JOO CHIAT ROAD",Freehold,Freehold,Freehold,Freehold,1.311960653325,103.900424708242,Geylang,East
MIDPOINT ORCHARD,ORCHARD ROAD,Office,6300000,710.42,"8,868",May-21,Strata,66,"95,455",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,"MIDPOINT ORCHARD, ORCHARD ROAD",Freehold,Freehold,Freehold,Freehold,1.30177313264942,103.838659652851,Orchard,Central
ORCHARD TOWERS,ORCHARD ROAD,Office,1871000,958,"1,953",May-21,Strata,89,"21,022",Freehold,9," Orchard, Cairnhill, River Valley",06 to 10,"ORCHARD TOWERS, ORCHARD ROAD",Freehold,Freehold,Freehold,Freehold,1.30698264136605,103.829330794895,Orchard,Central
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,6588000,"2,195.86","3,000",May-21,Strata,204,"32,294",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",36 to 40,"SUNTEC TOWER ONE, TEMASEK BOULEVARD",99,1989,2088,64,1.29543569778908,103.858374825349,Downtown Core,Central
,KIM KEAT LANE,Office,1128000,"1,323.97",852,May-21,Strata,123,"9,171",Freehold,12," Balestier, Toa Payoh, Serangoon",-,", KIM KEAT LANE",Freehold,Freehold,Freehold,Freehold,1.32425506968264,103.853804597473,Novena,Central
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,480000,161.46,"2,973",Apr-21,Strata,15,"32,000",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"BUKIT TIMAH SHOPPING CENTRE, UPPER BUKIT TIMAH ROAD",999,1883,2882,858,1.34316475341698,103.776031354379,Bukit Timah,West
SHENTON HOUSE,SHENTON WAY,Office,1030000,559.73,"1,840",Apr-21,Strata,52,"19,808",99 yrs lease commencing from 1969,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SHENTON HOUSE, SHENTON WAY",99,1969,2068,44,1.27601990655194,103.848835345266,Downtown Core,Central
PLUS,CECIL STREET,Office,4123040,"1,356.26","3,040",Apr-21,Strata,126,"32,723",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"PLUS, CECIL STREET",99,1989,2088,64,1.28305868511019,103.85047428531,Downtown Core,Central
ORCHARD TOWERS,ORCHARD ROAD,Office,1660000,785.77,"2,113",Apr-21,Strata,73,"22,740",Freehold,9," Orchard, Cairnhill, River Valley",06 to 10,"ORCHARD TOWERS, ORCHARD ROAD",Freehold,Freehold,Freehold,Freehold,1.30698264136605,103.829330794895,Orchard,Central
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,590000,344.45,"1,713",Apr-21,Strata,32,"18,438",99 yrs lease commencing from 1969,6," High Street, Beach Road (part)",01 to 05,"HIGH STREET CENTRE, NORTH BRIDGE ROAD",99,1969,2068,44,1.28998869553165,103.84921712944,Downtown Core,Central
ORCHARD TOWERS,ORCHARD ROAD,Office,1083000,570.49,"1,898",Apr-21,Strata,53,"20,434",Freehold,9," Orchard, Cairnhill, River Valley",11 to 15,"ORCHARD TOWERS, ORCHARD ROAD",Freehold,Freehold,Freehold,Freehold,1.30698264136605,103.829330794895,Orchard,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1238250,635.08,"1,950",Apr-21,Strata,59,"20,987",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
,ARMENIAN STREET,Office,3100000,"1,528.49","2,028",Apr-21,Strata,142,"21,831",99 yrs lease commencing from 2007,6," High Street, Beach Road (part)",01 to 05,", ARMENIAN STREET",99,2007,2106,82,1.29446415491593,103.849494715465,Museum,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2291900,"1,065.64","2,151",Apr-21,Strata,99,"23,151",99 yrs lease commencing from 2011,14," Geylang, Eunos",11 to 15,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1088000,505.91,"2,151",Apr-21,Strata,47,"23,149",99 yrs lease commencing from 2011,14," Geylang, Eunos",11 to 15,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
HAVELOCK2,HAVELOCK ROAD,Office,1388604,742.72,"1,870",Apr-21,Strata,69,"20,125",99 yrs lease commencing from 1983,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"HAVELOCK2, HAVELOCK ROAD",99,1983,2082,58,1.28715061616661,103.845153736863,Singapore River,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,5482758,"2,551.07","2,149",Apr-21,Strata,237,"23,134",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,17293500,"8,234.46","2,100",Apr-21,Strata,765,"22,606",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
THE CENTRAL,EU TONG SEN STREET,Office,1584000,635.08,"2,494",Apr-21,Strata,59,"26,847",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
HIGH STREET PLAZA,HIGH STREET,Office,260000,96.88,"2,684",Apr-21,Strata,9,"28,889",999 yrs lease commencing from 1827,6," High Street, Beach Road (part)",06 to 10,"HIGH STREET PLAZA, HIGH STREET",999,1827,2826,802,1.2904540746831,103.849358869172,Downtown Core,Central
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,4300000,"1,550.02","2,774",Apr-21,Strata,144,"29,861",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SUNTEC TOWER ONE, TEMASEK BOULEVARD",99,1989,2088,64,1.29543569778908,103.858374825349,Downtown Core,Central
HIGH STREET PLAZA,HIGH STREET,Office,1145000,495.14,"2,312",Apr-21,Strata,46,"24,891",999 yrs lease commencing from 1827,6," High Street, Beach Road (part)",06 to 10,"HIGH STREET PLAZA, HIGH STREET",999,1827,2826,802,1.2904540746831,103.849358869172,Downtown Core,Central
THE CENTRAL,EU TONG SEN STREET,Office,2861200,871.88,"3,282",Apr-21,Strata,81,"35,323",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
THE CENTRAL,EU TONG SEN STREET,Office,2138800,645.84,"3,312",Apr-21,Strata,60,"35,647",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,1030000,462.85,"2,225",Apr-21,Strata,43,"23,953",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
ORCHARD PLAZA,ORCHARD ROAD,Office,1042000,828.83,"1,257",Apr-21,Strata,77,"13,532",99 yrs lease commencing from 1977,9," Orchard, Cairnhill, River Valley",06 to 10,"ORCHARD PLAZA, ORCHARD ROAD",99,1977,2076,52,1.30495005564842,103.832971130126,Orchard,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1030000,505.91,"2,036",Apr-21,Strata,47,"21,915",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,495000,182.99,"2,705",Apr-21,Strata,17,"29,118",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"BUKIT TIMAH SHOPPING CENTRE, UPPER BUKIT TIMAH ROAD",999,1883,2882,858,1.34316475341698,103.776031354379,Bukit Timah,West
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,925000,484.38,"1,910",Apr-21,Strata,45,"20,556",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
ORCHARD TOWERS,ORCHARD ROAD,Office,800000,398.27,"2,009",Apr-21,Strata,37,"21,622",Freehold,9," Orchard, Cairnhill, River Valley",11 to 15,"ORCHARD TOWERS, ORCHARD ROAD",Freehold,Freehold,Freehold,Freehold,1.30698264136605,103.829330794895,Orchard,Central
HOA NAM BUILDING,FOCH ROAD,Office,1420000,839.59,"1,691",Apr-21,Strata,78,"18,205",Freehold,8, Little India,01 to 05,"HOA NAM BUILDING, FOCH ROAD",Freehold,Freehold,Freehold,Freehold,1.31270184017357,103.859968759019,Kallang,Central
THE MODULES,JOO CHIAT ROAD,Office,620000,365.98,"1,694",Apr-21,Strata,34,"18,235",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"THE MODULES, JOO CHIAT ROAD",Freehold,Freehold,Freehold,Freehold,1.30796049185682,103.903830279651,Marine Parade,Central
GIFFARD MANSIONS,BALESTIER ROAD,Office,700000,570.49,"1,227",Apr-21,Strata,53,"13,208",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,"GIFFARD MANSIONS, BALESTIER ROAD",Freehold,Freehold,Freehold,Freehold,1.32619717807328,103.84910065649,Novena,Central
UNION BUILDING,TRAS STREET,Office,1450000,710.42,"2,041",Apr-21,Strata,66,"21,970",Freehold,2," Anson, Tanjong Pagar",01 to 05,"UNION BUILDING, TRAS STREET",Freehold,Freehold,Freehold,Freehold,1.27444651846065,103.843929515239,Downtown Core,Central
THE CENTRAL,EU TONG SEN STREET,Office,2070000,925.7,"2,236",Apr-21,Strata,86,"24,070",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
VISION EXCHANGE,VENTURE DRIVE,Office,1325000,839.59,"1,578",Mar-21,Strata,78,"16,987",99 yrs lease commencing from 2013,22, Jurong,06 to 10,"VISION EXCHANGE, VENTURE DRIVE",99,2013,2112,88,1.33015172071471,103.744574631833,Jurong East,West
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1010000,505.91,"1,996",Mar-21,Strata,47,"21,489",99 yrs lease commencing from 2011,14," Geylang, Eunos",11 to 15,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
INTERNATIONAL PLAZA,ANSON ROAD,Office,2985000,"1,453.14","2,054",Mar-21,Strata,135,"22,111",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
FU LU SHOU COMPLEX,ROCHOR ROAD,Office,2074680,"2,034.40","1,020",Mar-21,Strata,189,"10,977",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",01 to 05,"FU LU SHOU COMPLEX, ROCHOR ROAD",99,1980,2079,55,1.30151258571919,103.854497235401,Rochor,Central
CENTRIUM SQUARE,SERANGOON ROAD,Office,1924520,721.19,"2,669",Mar-21,Strata,67,"28,724",Freehold,8, Little India,16 to 20,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
SBF CENTER,ROBINSON ROAD,Office,2060000,635.08,"3,244",Mar-21,Strata,59,"34,915",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"SBF CENTER, ROBINSON ROAD",99,2011,2110,86,1.27812790985944,103.847854628243,Downtown Core,Central
BURLINGTON SQUARE,BENCOOLEN STREET,Office,1199998,699.66,"1,715",Mar-21,Strata,65,"18,462",99 yrs lease commencing from 1996,7," Middle Road, Golden Mile",11 to 15,"BURLINGTON SQUARE, BENCOOLEN STREET",99,1996,2095,71,1.3022432704693,103.852700214718,Rochor,Central
LE SHANTIER,BALESTIER ROAD,Office,950000,731.95,"1,298",Mar-21,Strata,68,"13,971",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,"LE SHANTIER, BALESTIER ROAD",Freehold,Freehold,Freehold,Freehold,1.32608927617256,103.846533689765,Novena,Central
GOLDHILL PLAZA,GOLDHILL PLAZA,Office,2170000,"1,237.86","1,753",Mar-21,Strata,115,"18,870",999 yrs lease commencing from 1972,11," Watten Estate, Novena, Thomson",01 to 05,"GOLDHILL PLAZA, GOLDHILL PLAZA",999,1972,2971,947,1.31819886451617,103.84293598078,Novena,Central
GOLDHILL PLAZA,GOLDHILL PLAZA,Office,3430000,"1,959.05","1,751",Mar-21,Strata,182,"18,846",999 yrs lease commencing from 1972,11," Watten Estate, Novena, Thomson",01 to 05,"GOLDHILL PLAZA, GOLDHILL PLAZA",999,1972,2971,947,1.31819886451617,103.84293598078,Novena,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,1168641,656.6,"1,780",Mar-21,Strata,61,"19,158",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
SOHO LIFE,JOO CHIAT ROAD,Office,650000,430.56,"1,510",Mar-21,Strata,40,"16,250",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"SOHO LIFE, JOO CHIAT ROAD",Freehold,Freehold,Freehold,Freehold,1.311960653325,103.900424708242,Geylang,East
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,1100000,365.98,"3,006",Mar-21,Strata,34,"32,353",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"KATONG SHOPPING CENTRE, MOUNTBATTEN ROAD",Freehold,Freehold,Freehold,Freehold,1.30382040183737,103.901040040407,Marine Parade,Central
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,560000,269.1,"2,081",Mar-21,Strata,25,"22,400",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"BUKIT TIMAH SHOPPING CENTRE, UPPER BUKIT TIMAH ROAD",999,1883,2882,858,1.34316475341698,103.776031354379,Bukit Timah,West
THE CENTRAL,EU TONG SEN STREET,Office,1450000,635.08,"2,283",Mar-21,Strata,59,"24,576",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
CENTRIUM SQUARE,SERANGOON ROAD,Office,13000000,"4,962.20","2,620",Mar-21,Strata,461,"28,200",Freehold,8, Little India,16 to 20,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
CERTIS CISCO CENTRE,JALAN AFIFI,Office,150000000,"130,211.03","1,152",Mar-21,Land,"12,096.90","12,400",30 yrs lease commencing from 2013,14," Geylang, Eunos",01 to 05,"CERTIS CISCO CENTRE, JALAN AFIFI",30,2013,2043,19,1.32241753830632,103.892055568042,Geylang,East
CENTRIUM SQUARE,SERANGOON ROAD,Office,2313119,861.12,"2,686",Mar-21,Strata,80,"28,914",Freehold,8, Little India,06 to 10,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
,JOO CHIAT ROAD,Office,1070000,925.7,"1,156",Mar-21,Strata,86,"12,442",Freehold,15," Katong, Joo Chiat, Amber Road",-,", JOO CHIAT ROAD",Freehold,Freehold,Freehold,Freehold,1.31552186936095,103.898992245034,Geylang,East
THE CENTRAL,EU TONG SEN STREET,Office,1500000,645.84,"2,323",Mar-21,Strata,60,"25,000",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
FU LU SHOU COMPLEX,ROCHOR ROAD,Office,2297196,"2,174.33","1,057",Mar-21,Strata,202,"11,372",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",01 to 05,"FU LU SHOU COMPLEX, ROCHOR ROAD",99,1980,2079,55,1.30151258571919,103.854497235401,Rochor,Central
SHENTON HOUSE,SHENTON WAY,Office,820000,441.32,"1,858",Mar-21,Strata,41,"20,000",99 yrs lease commencing from 1969,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"SHENTON HOUSE, SHENTON WAY",99,1969,2068,44,1.27601990655194,103.848835345266,Downtown Core,Central
HAVELOCK2,HAVELOCK ROAD,Office,1470000,785.77,"1,871",Mar-21,Strata,73,"20,137",99 yrs lease commencing from 1983,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"HAVELOCK2, HAVELOCK ROAD",99,1983,2082,58,1.28715061616661,103.845153736863,Singapore River,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,1035000,473.62,"2,185",Mar-21,Strata,44,"23,523",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",06 to 10,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
MAXWELL HOUSE,MAXWELL ROAD,Office,470000,269.1,"1,747",Mar-21,Strata,25,"18,800",99 yrs lease commencing from 1969,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"MAXWELL HOUSE, MAXWELL ROAD",99,1969,2068,44,1.28005617563792,103.845502395355,Downtown Core,Central
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,510000,376.74,"1,354",Mar-21,Strata,35,"14,571",99 yrs lease commencing from 1969,6," High Street, Beach Road (part)",01 to 05,"HIGH STREET CENTRE, NORTH BRIDGE ROAD",99,1969,2068,44,1.28998869553165,103.84921712944,Downtown Core,Central
SBF CENTER,ROBINSON ROAD,Office,2968845,947.23,"3,134",Mar-21,Strata,88,"33,737",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",26 to 30,"SBF CENTER, ROBINSON ROAD",99,2011,2110,86,1.27812790985944,103.847854628243,Downtown Core,Central
THE PLAZA,BEACH ROAD,Office,2699200,"1,926.76","1,401",Mar-21,Strata,179,"15,079",99 yrs lease commencing from 1968,7," Middle Road, Golden Mile",01 to 05,"THE PLAZA, BEACH ROAD",99,1968,2067,43,1.29962022781589,103.860647265508,Downtown Core,Central
THE RIVERSIDE PIAZZA,KENG CHEOW STREET,Office,2420000,"1,560.78","1,551",Mar-21,Strata,145,"16,690",99 yrs lease commencing from 1992,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"THE RIVERSIDE PIAZZA, KENG CHEOW STREET",99,1992,2091,67,1.2884862000316,103.844049441363,Singapore River,Central
THE ADELPHI,COLEMAN STREET,Office,7340000,"2,626.42","2,795",Mar-21,Strata,244,"30,082",999 yrs lease commencing from 1828,6," High Street, Beach Road (part)",06 to 10,"THE ADELPHI, COLEMAN STREET",999,1828,2827,803,1.29118503658447,103.851184338699,Downtown Core,Central
,YIO CHU KANG ROAD,Office,1560000,"1,270.15","1,228",Feb-21,Strata,118,"13,220",Freehold,19," Serangoon Garden, Hougang, Punggol",-,", YIO CHU KANG ROAD",Freehold,Freehold,Freehold,Freehold,1.36102014243375,103.873958983158,Hougang,North
CENTRIUM SQUARE,SERANGOON ROAD,Office,2538800,979.52,"2,592",Feb-21,Strata,91,"27,899",Freehold,8, Little India,16 to 20,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,11301300,"3,896.57","2,900",Feb-21,Strata,362,"31,219",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"SUNTEC TOWER ONE, TEMASEK BOULEVARD",99,1989,2088,64,1.29543569778908,103.858374825349,Downtown Core,Central
THE ARCADE,COLLYER QUAY,Office,2070000,"1,054.87","1,962",Feb-21,Strata,98,"21,122",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"THE ARCADE, COLLYER QUAY",99,1980,2079,55,1.283619583733,103.852068945868,Downtown Core,Central
PLUS,CECIL STREET,Office,4129334,"1,334.74","3,094",Feb-21,Strata,124,"33,301",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"PLUS, CECIL STREET",99,1989,2088,64,1.28305868511019,103.85047428531,Downtown Core,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,856550,473.62,"1,809",Feb-21,Strata,44,"19,467",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,1716384,968.76,"1,772",Feb-21,Strata,90,"19,071",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
,ROBINSON ROAD,Office,20770631,"7,093.48","2,928",Feb-21,Strata,659,"31,518",Freehold,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,", ROBINSON ROAD",Freehold,Freehold,Freehold,Freehold,1.27907635162327,103.848684034738,Downtown Core,Central
,ROBINSON ROAD,Office,122009369,"47,738.34","2,556",Feb-21,Strata,"4,435","27,511",Freehold,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,", ROBINSON ROAD",Freehold,Freehold,Freehold,Freehold,1.27907635162327,103.848684034738,Downtown Core,Central
CENTRIUM SQUARE,SERANGOON ROAD,Office,2309628,861.12,"2,682",Feb-21,Strata,80,"28,870",Freehold,8, Little India,16 to 20,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,610000,548.96,"1,111",Feb-21,Strata,51,"11,961",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",06 to 10,"PARKLANE SHOPPING MALL, SELEGIE ROAD",99,1974,2073,49,1.30065102658844,103.84944198056,Rochor,Central
THE CENTRAL,EU TONG SEN STREET,Office,1350000,635.08,"2,126",Feb-21,Strata,59,"22,881",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
SOHO LIFE,JOO CHIAT ROAD,Office,636000,441.32,"1,441",Feb-21,Strata,41,"15,512",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"SOHO LIFE, JOO CHIAT ROAD",Freehold,Freehold,Freehold,Freehold,1.311960653325,103.900424708242,Geylang,East
