Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level,Address,Tenure Lease Period,Tenure From,Tenure Due,Tenure Remaining,Latitude,Longitude,Planning Area,Region
TEXTILE CENTRE,JALAN SULTAN,Office,900000,882.65,"1,020",Aug-24,Strata,82,"10,976",99 yrs lease commencing from 1970,7," Middle Road, Golden Mile",06 to 10,"TEXTILE CENTRE, JALAN SULTAN",99,1970,2069,45,1.30393835645617,103.861630792094,Kallang,Central
SIM LIM TOWER,JALAN BESAR,Office,924000,419.8,"2,201",Aug-24,Strata,39,"23,692",Freehold,8, Little India,11 to 15,"SIM LIM TOWER, JALAN BESAR",Freehold,Freehold,Freehold,Freehold,1.30381132990834,103.854639960657,Rochor,Central
PLUS,CECIL STREET,Office,3150000,"1,001.05","3,147",Aug-24,Strata,93,"33,871",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"PLUS, CECIL STREET",99,1989,2088,64,1.28305868511019,103.85047428531,Downtown Core,Central
PENINSULA EXCELSIOR HOTEL,COLEMAN STREET,Office,600000,376.74,"1,593",Aug-24,Strata,35,"17,143",99 yrs lease commencing from 1979,6," High Street, Beach Road (part)",01 to 05,"PENINSULA EXCELSIOR HOTEL, COLEMAN STREET",99,1979,2078,54,1.29284454030617,103.848704598015,Museum,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,1861000,979.52,"1,900",Aug-24,Strata,91,"20,451",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,3050000,"1,560.78","1,954",Aug-24,Strata,145,"21,034",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
CHINATOWN POINT,NEW BRIDGE ROAD,Office,4470000,"2,486.48","1,798",Aug-24,Strata,231,"19,351",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"CHINATOWN POINT, NEW BRIDGE ROAD",99,1980,2079,55,1.28499882847401,103.844697081142,Outram,Central
FORTUNE CENTRE,MIDDLE ROAD,Office,2380000,"1,550.02","1,535",Aug-24,Strata,144,"16,528",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",16 to 20,"FORTUNE CENTRE, MIDDLE ROAD",99,1980,2079,55,1.30042241913975,103.852286627386,Rochor,Central
ROBINSON SQUARE,ROBINSON ROAD,Office,3552000,"1,184.04","3,000",Aug-24,Strata,110,"32,291",Freehold,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"ROBINSON SQUARE, ROBINSON ROAD",Freehold,Freehold,Freehold,Freehold,1.27826614361665,103.848149742737,Downtown Core,Central
SOHO LIFE,JOO CHIAT ROAD,Office,750000,398.27,"1,883",Aug-24,Strata,37,"20,270",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"SOHO LIFE, JOO CHIAT ROAD",Freehold,Freehold,Freehold,Freehold,1.311960653325,103.900424708242,Geylang,East
TONG ENG BUILDING,CECIL STREET,Office,1350000,462.85,"2,917",Aug-24,Strata,43,"31,395",999 yrs lease commencing from 1885,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"TONG ENG BUILDING, CECIL STREET",999,1885,2884,860,1.28098077414961,103.84943569885,Downtown Core,Central
THE MODULES,JOO CHIAT ROAD,Office,931000,452.09,"2,059",Aug-24,Strata,42,"22,167",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"THE MODULES, JOO CHIAT ROAD",Freehold,Freehold,Freehold,Freehold,1.30796049185682,103.903830279651,Marine Parade,Central
THE MODULES,JOO CHIAT ROAD,Office,1120000,538.2,"2,081",Aug-24,Strata,50,"22,400",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"THE MODULES, JOO CHIAT ROAD",Freehold,Freehold,Freehold,Freehold,1.30796049185682,103.903830279651,Marine Parade,Central
BALMORAL PLAZA,BUKIT TIMAH ROAD,Office,2060000,764.24,"2,695",Aug-24,Strata,71,"29,014",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",01 to 05,"BALMORAL PLAZA, BUKIT TIMAH ROAD",Freehold,Freehold,Freehold,Freehold,1.31643963008359,103.835487584433,Newton,Central
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1888000,"1,119.46","1,687",Jul-24,Strata,104,"18,154",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",06 to 10,"SUNSHINE PLAZA, BENCOOLEN STREET",99,1997,2096,72,1.30034762081549,103.851046168708,Rochor,Central
TRIO,SAM LEONG ROAD,Office,758000,226.04,"3,353",Jul-24,Strata,21,"36,095",Freehold,8, Little India,01 to 05,"TRIO, SAM LEONG ROAD",Freehold,Freehold,Freehold,Freehold,1.3090777890253,103.856932443349,Kallang,Central
HAVELOCK2,HAVELOCK ROAD,Office,525000,333.68,"1,573",Jul-24,Strata,31,"16,935",99 yrs lease commencing from 1983,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"HAVELOCK2, HAVELOCK ROAD",99,1983,2082,58,1.28715061616661,103.845153736863,Singapore River,Central
FORTUNE CENTRE,MIDDLE ROAD,Office,2628000,"1,711.48","1,536",Jul-24,Strata,159,"16,528",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",16 to 20,"FORTUNE CENTRE, MIDDLE ROAD",99,1980,2079,55,1.30042241913975,103.852286627386,Rochor,Central
